School,Year,Paper Number,Question Number,Topic,Subtopic,"Difficulty 
1 - Normal
2 - Slightly Challenging
3 - Challenging",Difficulty
Gan Eng Seng,2024,2,8,Differentiation,"Rate of Change, Stationary Points",1,Normal
Gan Eng Seng,2024,2,9,Differentiation,Stationary Points,2,Challenging
Gan Eng Seng,2024,2,10,Integration - Area under curve,,,
Gan Eng Seng,2024,2,11,Integration,Differentiate then Integrate,1,Normal
Geylang Methodist,2024,1,1,Equation and Inequality,,1,Normal
Geylang Methodist,2024,1,2,Differentiation,,1,Normal
Geylang Methodist,2024,1,3,Trigonometry,Drawing Trigo Graphs,1,Normal
Geylang Methodist,2024,1,4,Integration,Tangent / Normal,1,Normal
Geylang Methodist,2024,1,5,Surds,,1,Normal
Geylang Methodist,2024,1,6,Differentiation,"Increasing / Decreasing Functions, Rate of Change",1,Normal
Geylang Methodist,2024,1,7,Binomial Expansion,,1,Normal
Geylang Methodist,2024,1,8,Differentiation,Stationary Points,2,Challenging
Geylang Methodist,2024,1,9,Proof of Plane Geometry,,,
Geylang Methodist,2024,1,10,Exponential and Log,,1,Normal
Geylang Methodist,2024,1,11,Equation and Inequality,,2,Challenging
Geylang Methodist,2024,1,12,Trigonometry,Proving Trigo Functions,,
Geylang Methodist,2024,1,13,Linear Law,,,
Geylang Methodist,2024,2,1,Trigonometry,Solving Trigo Functions,1,Normal
Geylang Methodist,2024,2,2,Exponential and Log,,1,Normal
Geylang Methodist,2024,2,3,Differentiation,Stationary Points,1,Normal
Geylang Methodist,2024,2,4,Coordinate Geometry,,3,Very Challenging
Geylang Methodist,2024,2,5,Coordinate Geometry (Circle),,1,Normal
Geylang Methodist,2024,2,6,Trigonometry,R-Formula,1,Normal
Geylang Methodist,2024,2,7,Polynomials,,1,Normal
Geylang Methodist,2024,2,8,Kinematics,,,
Geylang Methodist,2024,2,9,Integration - Area under curve,,,
Geylang Methodist,2024,2,"10a, b",Integration,Integrate with Partial Fraction,1,Normal
Geylang Methodist,2024,2,"10c, d",Integration,Differentiate then Integrate,1,Normal
Hua Yi,2024,1,1,Surds,,1,Normal
Hua Yi,2024,1,2,Equation and Inequality,,1,Normal
Hua Yi,2024,1,3,Equation and Inequality,,1,Normal
Hua Yi,2024,1,4,Integration,,1,Normal
Hua Yi,2024,1,5,Partial Fractions,,1,Normal
Hua Yi,2024,1,6,Polynomials,,2,Challenging
Hua Yi,2024,1,7,Trigonometry,Drawing Trigo Graphs,1,Normal
Hua Yi,2024,1,8,Differentiation,Rate of Change,1,Normal
Hua Yi,2024,1,9,Differentiation,Stationary Points,1,Normal
Hua Yi,2024,1,10,"Proof of Plane Geometry, Coordinate Geometry",,2,Challenging
Hua Yi,2024,1,11,Trigonometry,"Proving Trigo Functions, Solving Trigo Functions",1,Normal
Hua Yi,2024,1,12,Exponential and Log,,1,Normal
Hua Yi,2024,1,13,Integration - Area under curve,,,
Hua Yi,2024,1,14,Proof of Plane Geometry,,,
Hua Yi,2024,2,1,Polynomials,,1,Normal
Hua Yi,2024,2,2,Binomial Expansion,,1,Normal
Hua Yi,2024,2,3,Integration,Differentiate then Integrate,1,Normal
Hua Yi,2024,2,4,Exponential and Log,,1,Normal
Hua Yi,2024,2,5,Equation and Inequality,,1,Normal
Hua Yi,2024,2,6,Linear Law,,,
Hua Yi,2024,2,7,Kinematics,,,
Hua Yi,2024,2,8,Trigonometry,R-Formula,1,Normal
Hua Yi,2024,2,9,Integration - Area under curve,,,
Hua Yi,2024,2,10,Differentiation,Tangent / Normal,2,Challenging
Juying,2024,1,1a,Differentiation,Increasing / Decreasing Functions,1,Normal
Juying,2024,1,1b,Differentiation,Tangent / Normal,2,Challenging
Juying,2024,1,2,Surds,,2,Challenging
Juying,2024,1,3,Proof of Plane Geometry,,,
Juying,2024,1,4,Polynomials,,1,Normal
Juying,2024,1,5,Exponential and Log,,1,Normal
Juying,2024,1,6,Trigonometry,,1,Normal
Juying,2024,1,7,Trigonometry,,2,Challenging
Juying,2024,1,8,Linear Law,,,
Juying,2024,1,9,Integration,Integrate with Partial Fraction,2,Challenging
Juying,2024,1,10,Equation and Inequality,,1,Normal
Juying,2024,1,11,Trigonometry,"Proving Trigo Functions, Solving Trigo Functions",1,Normal
Juying,2024,1,12,Differentiation,,1,Normal
Juying,2024,1,13,Differentiation,Stationary Points,1,Normal
Juying,2024,1,14,Integration,,,
Juying,2024,2,1,Equation and Inequality,,1,Normal
Juying,2024,2,2,Binomial Expansion,,2,Challenging
Juying,2024,2,3,Exponential and Log,,2,Challenging
Juying,2024,2,4,Coordinate Geometry,,2,Challenging
Juying,2024,2,5,Trigonometry,R-Formula,1,Normal
Juying,2024,2,6,Differentiation,Rate of Change,1,Normal
Juying,2024,2,7,Equation and Inequality,,1,Normal
Juying,2024,2,8,Integration,,1,Normal
Juying,2024,2,9,Kinematics,,,
Juying,2024,2,10,Integration - Area under curve,,,
Juying,2024,2,11,Trigonometry,Drawing Trigo Graphs,1,Normal
Juying,2024,2,12,Integration,,2,Challenging
Juying,2024,2,13,Trigonometry,Special Angles,1,Normal
Kent Ridge,2024,1,1,Trigonometry,Proving Trigo Functions,2,Challenging
Kent Ridge,2024,1,2,Coordinate Geometry,,1,Normal
Kent Ridge,2024,1,3,Trigonometry,Drawing Trigo Graphs,1,Normal
Kent Ridge,2024,1,4,Binomial Expansion,,1,Normal
Kent Ridge,2024,1,5a,Differentiation,Increasing / Decreasing Functions,1,Normal
Kent Ridge,2024,1,5b,Integration,Integrate with Partial Fraction,1,Normal
Kent Ridge,2024,1,6,Exponential and Log,,1,Normal
Kent Ridge,2024,1,7,Differentiation,,1,Normal
Kent Ridge,2024,1,8,Equation and Inequality,,2,Challenging
Kent Ridge,2024,1,9,Differentiation,Rate of Change,1,Normal
Kent Ridge,2024,1,10,Proof of Plane Geometry,,,
Kent Ridge,2024,1,11a,Polynomials,,1,Normal
Kent Ridge,2024,1,11b,Differentiation,Stationary Points,1,Normal
Kent Ridge,2024,1,12a,Trigonometry,Proving Trigo Functions,1,Normal
Kent Ridge,2024,1,12b,Trigonometry,Special Angles,1,Normal
Kent Ridge,2024,2,1,Partial Fractions,,1,Normal
Kent Ridge,2024,2,2,Linear Law,,,
Kent Ridge,2024,2,3,Integration - Area under curve,,,
Kent Ridge,2024,2,4,Equation and Inequality,,1,Normal
Kent Ridge,2024,2,5,Differentiation,,1,Normal
Kent Ridge,2024,2,6,Integration,Differentiate then Integrate,,
Kent Ridge,2024,2,7,Proof of Plane Geometry,,,
Kent Ridge,2024,2,8,Exponential and Log,,1,Normal
Kent Ridge,2024,2,9,Coordinate Geometry (Circle),,2,Challenging
Kent Ridge,2024,2,10,Kinematics,,,
Mayflower,2024,1,1,Equation and Inequality,,1,Normal
Mayflower,2024,1,2,Exponential and Log,,1,Normal
Mayflower,2024,1,3,Trigonometry,,2,Challenging
Mayflower,2024,1,4,Polynomials,,1,Normal
Mayflower,2024,1,5,Trigonometry,Proving Trigo Functions,2,Challenging
Mayflower,2024,1,6,Binomial Expansion,,1,Normal
Mayflower,2024,1,7,Proof of Plane Geometry,,,
Mayflower,2024,1,8,Differentiation,Rate of Change,2,Challenging
Mayflower,2024,1,9,Differentiation,,2,Challenging
Mayflower,2024,1,10,Equation and Inequality,,1,Normal
Mayflower,2024,1,11,Partial Fractions,,1,Normal
Mayflower,2024,2,1,Polynomials,,1,Normal
Mayflower,2024,2,2,Surds,,1,Normal
Mayflower,2024,2,3,Binomial Expansion,,1,Normal
Mayflower,2024,2,4,Trigonometry,Principal Values,2,Challenging
Mayflower,2024,2,5a,Differentiation,Tangent / Normal,1,Normal
Mayflower,2024,2,5b,Differentiation,Increasing / Decreasing Functions,1,Normal
Mayflower,2024,2,6,Coordinate Geometry,,1,Normal
Mayflower,2024,2,7,Equation and Inequality,,2,Challenging
Mayflower,2024,2,8a,Differentiation,Stationary Points,2,Challenging
Mayflower,2024,2,8b,Integration,,2,Challenging
Mayflower,2024,2,9,Differentiation,Stationary Points,1,Normal
Mayflower,2024,2,10a,Trigonometry,Principal Values,2,Challenging
Mayflower,2024,2,10b,Trigonometry,Drawing Trigo Graphs,2,Challenging
Mayflower,2024,2,11,Coordinate Geometry (Circle),,2,Challenging
Mayflower,2024,2,12,Kinematics,,,
Methodist Girl,2024,1,1,Equation and Inequality,,2,Challenging
Methodist Girl,2024,1,2,Equation and Inequality,,1,Normal
Methodist Girl,2024,1,3,Equation and Inequality,,1,Normal
Methodist Girl,2024,1,4,Trigonometry,Solving Trigo Functions,1,Normal
Methodist Girl,2024,1,5,Differentiation,Increasing / Decreasing Functions,1,Normal
Methodist Girl,2024,1,6,Equation and Inequality,,1,Normal
Methodist Girl,2024,1,7,Integration,Tangent / Normal,1,Normal
Methodist Girl,2024,1,8,Exponential and Log,,1,Normal
Methodist Girl,2024,1,9,Polynomials,,1,Normal
Methodist Girl,2024,1,"10a, b",Differentiation,Rate of Change,1,Normal
Methodist Girl,2024,1,10c,Integration,Differentiate then Integrate,1,Normal
Methodist Girl,2024,1,11,Linear Law,,,
Methodist Girl,2024,1,12,Kinematics,,,
Methodist Girl,2024,1,13,Trigonometry,R-Formula,1,Normal
Methodist Girl,2024,1,14,Differentiation,Stationary Points,1,Normal
Methodist Girl,2024,2,1,Surds,,1,Normal
Methodist Girl,2024,2,2,Proof of Plane Geometry,,,
Methodist Girl,2024,2,3,Exponential and Log,,1,Normal
Methodist Girl,2024,2,4,Trigonometry,Solving Trigo Functions,1,Normal
Methodist Girl,2024,2,5,Binomial Expansion,,1,Normal
Methodist Girl,2024,2,6,Coordinate Geometry (Circle),,1,Normal
Methodist Girl,2024,2,7,Integration,Integrate with Partial Fraction,1,Normal
Methodist Girl,2024,2,8,Integration - Area under curve,,,
Methodist Girl,2024,2,9,Trigonometry,Drawing Trigo Graphs,1,Normal
Methodist Girl,2024,2,10,Coordinate Geometry,,2,Challenging
Nan Chiau,2024,1,1,Equation and Inequality,,1,Normal
Nan Chiau,2024,1,2,Equation and Inequality,,2,Challenging
Nan Chiau,2024,1,3,Differentiation,Increasing / Decreasing Functions,2,Challenging
Nan Chiau,2024,1,4,Trigonometry,Proving Trigo Functions,1,Normal
Nan Chiau,2024,1,5,Partial Fractions,,1,Normal
Nan Chiau,2024,1,6a,Trigonometry,Proving Trigo Functions,1,Normal
Nan Chiau,2024,1,6b,Trigonometry,Solving Trigo Functions,2,Challenging
Nan Chiau,2024,1,7,Integration,Differentiate then Integrate,2,Challenging
Nan Chiau,2024,1,8,Equation and Inequality,,1,Normal
Nan Chiau,2024,1,9,Exponential and Log,,1,Normal
Nan Chiau,2024,1,"10a, b",Differentiation,Stationary Points,1,Normal
Nan Chiau,2024,1,10c,Differentiation,Rate of Change,2,Challenging
Nan Chiau,2024,1,11,Coordinate Geometry (Circle),,2,Challenging
Nan Chiau,2024,1,12,Coordinate Geometry,,2,Challenging
Nan Chiau,2024,1,13,Differentiation,Rate of Change,2,Challenging
Nan Chiau,2024,2,1,Binomial Expansion,,2,Challenging
Nan Chiau,2024,2,2,Integration,,2,Challenging
Nan Chiau,2024,2,3,Trigonometry,Solving Trigo Functions,2,Challenging
Nan Chiau,2024,2,4,Linear Law,,3,Very Challenging
Nan Chiau,2024,2,5,Differentiation,Stationary Points,1,Normal
Nan Chiau,2024,2,6,Integration - Area under curve,,,
Nan Chiau,2024,2,7,Polynomials,,1,Normal
Nan Chiau,2024,2,8a,Trigonometry,Drawing Trigo Graphs,1,Normal
Nan Chiau,2024,2,8b,Kinematics,,,
Nan Chiau,2024,2,9,Trigonometry,R-Formula,,
Nan Chiau,2024,2,10,Proof of Plane Geometry,,,
Northland,2024,1,1,Equation and Inequality,,1,Normal
Northland,2024,1,2,Exponential and Log,,1,Normal
Northland,2024,1,3,Surds,,1,Normal
Northland,2024,1,4,Integration,,1,Normal
Northland,2024,1,5,Trigonometry,Principal Values,2,Challenging
Northland,2024,1,6,Coordinate Geometry,,2,Challenging
Northland,2024,1,7,Differentiation,Rate of Change,1,Normal
Northland,2024,1,8,Differentiation,Stationary Points,1,Normal
Northland,2024,1,9,Polynomials,,2,Challenging
Northland,2024,1,10,Binomial Expansion,,1,Normal
Northland,2024,1,11,Integration - Area under curve,,,
Northland,2024,1,12,Linear Law,,,
Northland,2024,2,1,Partial Fractions,,1,Normal
Northland,2024,2,2,Equation and Inequality,,1,Normal
Northland,2024,2,3a,Trigonometry,Proving Trigo Functions,1,Normal
Northland,2024,2,"3b, c",Trigonometry,Solving Trigo Functions,1,Normal
Northland,2024,2,4a,Exponential and Log,,1,Normal
Northland,2024,2,4b,Exponential and Log,Drawing Log / Exponential Graphs,1,Normal
Northland,2024,2,5a,Differentiation,Increasing / Decreasing Functions,1,Normal
Northland,2024,2,5b,Differentiation,Stationary Points,1,Normal
Northland,2024,2,6,Coordinate Geometry,,2,Challenging
Northland,2024,2,7,Kinematics,,,
Northland,2024,2,8,Trigonometry,R-Formula,1,Normal
Northland,2024,2,9a,Integration,Integrate with Partial Fraction,1,Normal
Northland,2024,2,"9b, c",Integration,Differentiate then Integrate,2,Challenging
Orchird Park,2024,1,1,Equation and Inequality,,1,Normal
Orchird Park,2024,1,2,Partial Fractions,,1,Normal
Orchird Park,2024,1,3,Trigonometry,Proving Trigo Functions,1,Normal
Orchird Park,2024,1,4,Integration,Differentiate then Integrate,1,Normal
Orchird Park,2024,1,5,Trigonometry,Solving Trigo Functions,1,Normal
Orchird Park,2024,1,6,Differentiation,,2,Challenging
Orchird Park,2024,1,7,Equation and Inequality,,1,Normal
Orchird Park,2024,1,8,Equation and Inequality,,1,Normal
Orchird Park,2024,1,9,Differentiation,Stationary Points,1,Normal
Orchird Park,2024,1,10,Coordinate Geometry (Circle),,1,Normal
Orchird Park,2024,1,"11a, b",Differentiation,,1,Normal
Orchird Park,2024,1,11c,Integration,,1,Normal
Orchird Park,2024,1,11d,Differentiation,Rate of Change,1,Normal
Orchird Park,2024,1,12,Equation and Inequality,,2,Challenging
Orchird Park,2024,1,13,Coordinate Geometry,,2,Challenging
Orchird Park,2024,2,1,Binomial Expansion,,3,Very Challenging
Orchird Park,2024,2,2,Proof of Plane Geometry,,,
Orchird Park,2024,2,3,Exponential and Log,,1,Normal
Orchird Park,2024,2,3d,Exponential and Log,Drawing Log / Exponential Graphs,1,Normal
Orchird Park,2024,2,4,Trigonometry,Drawing Trigo Graphs,1,Normal
Orchird Park,2024,2,4b,Trigonometry,Proving Trigo Functions,2,Challenging
Orchird Park,2024,2,5,Kinematics,,,
Orchird Park,2024,2,6,Polynomials,,1,Normal
Orchird Park,2024,2,7,Exponential and Log,,2,Challenging
Orchird Park,2024,2,8,Trigonometry,R-Formula,1,Normal
Orchird Park,2024,2,9,Integration - Area under curve,,,
Orchird Park,2024,2,10,Linear Law,,,
Presbyerian,2024,1,1,Partial Fractions,,1,Normal
Presbyerian,2024,1,2,Trigonometry,Principal Values,1,Normal
Presbyerian,2024,1,3,Equation and Inequality,,1,Normal
Presbyerian,2024,1,4,Equation and Inequality,,1,Normal
Presbyerian,2024,1,5,Differentiation,Rate of Change,1,Normal
Presbyerian,2024,1,6,Differentiation,Stationary Points,1,Normal
Presbyerian,2024,1,7,Differentiation,Tangent / Normal,2,Challenging
Presbyerian,2024,1,8,Integration - Area under curve,,,
Presbyerian,2024,1,"9a, b",Partial Fractions,,1,Normal
Presbyerian,2024,1,"9c, d",Integration,Differentiate then Integrate,1,Normal
Presbyerian,2024,1,10,Coordinate Geometry (Circle),,2,Challenging
Presbyerian,2024,1,11a,Exponential and Log,Drawing Log / Exponential Graphs,1,Normal
Presbyerian,2024,1,11b,Integration,,,
Presbyerian,2024,1,12,Integration,,2,Challenging
Presbyerian,2024,2,1,Binomial Expansion,,1,Normal
Presbyerian,2024,2,2,Differentiation,Stationary Points,1,Normal
Presbyerian,2024,2,3,Proof of Plane Geometry,,,
Presbyerian,2024,2,4,Exponential and Log,,1,Normal
Presbyerian,2024,2,5,Polynomials,,1,Normal
Presbyerian,2024,2,6,Trigonometry,Proving Trigo Functions,2,Challenging
Presbyerian,2024,2,7,Differentiation,,1,Normal
Presbyerian,2024,2,"8a, b",Differentiation,Stationary Points,2,Challenging
Presbyerian,2024,2,"8c, d",Trigonometry,R-Formula,1,Normal
Presbyerian,2024,2,9,Kinematics,,,
Presbyerian,2024,2,10,Linear Law,,,
Queensway,2024,1,1,Polynomials,,2,Challenging
Queensway,2024,1,2a,Differentiation,Rate of Change,1,Normal
Queensway,2024,1,2b,Differentiation,Increasing / Decreasing Functions,,
Queensway,2024,1,3,Integration,Integrate with Partial Fraction,1,Normal
Queensway,2024,1,4,Coordinate Geometry,,1,Normal
Queensway,2024,1,5,Trigonometry,R-Formula,1,Normal
Queensway,2024,1,6,Kinematics,,,
Queensway,2024,1,7,Trigonometry,Proving Trigo Functions,2,Challenging
Queensway,2024,1,8,Differentiation,Stationary Points,1,Normal
Queensway,2024,1,9,Integration,,2,Challenging
Queensway,2024,1,10,Integration - Area under curve,,,
Queensway,2024,1,11,Linear Law,,,
Queensway,2024,2,1,Exponential and Log,,1,Normal
Queensway,2024,2,2,Exponential and Log,,1,Normal
Queensway,2024,2,3,Equation and Inequality,,1,Normal
Queensway,2024,2,4,Binomial Expansion,,2,Challenging
Queensway,2024,2,5a,Trigonometry,Drawing Trigo Graphs,1,Normal
Queensway,2024,2,5b,Trigonometry,Principal Values,,
Queensway,2024,2,6,Coordinate Geometry (Circle),,1,Normal
Queensway,2024,2,7a,Differentiation,Increasing / Decreasing Functions,1,Normal
Queensway,2024,2,"7b, c",Differentiation,,1,Normal
Queensway,2024,2,8,Differentiation,Stationary Points,2,Challenging
Queensway,2024,2,9,Differentiation,Stationary Points,2,Challenging
Queensway,2024,2,10,Trigonometry,Special Angles,2,Challenging
Queensway,2024,2,11,Proof of Plane Geometry,,,
Swiss Cottage,2024,1,1,Differentiation,Increasing / Decreasing Functions,1,Normal
Swiss Cottage,2024,1,2,Surds,,1,Normal
Swiss Cottage,2024,1,3,Equation and Inequality,,1,Normal
Swiss Cottage,2024,1,4,Proof of Plane Geometry,,,
Swiss Cottage,2024,1,5a,Exponential and Log,,1,Normal
Swiss Cottage,2024,1,5b,Exponential and Log,Drawing Log / Exponential Graphs,1,Normal
Swiss Cottage,2024,1,6,Trigonometry,Drawing Trigo Graphs,1,Normal
Swiss Cottage,2024,1,7,Integration,Tangent / Normal,1,Normal
Swiss Cottage,2024,1,8,Binomial Expansion,,2,Challenging
Swiss Cottage,2024,1,9,Integration,Integrate with Partial Fraction,1,Normal
Swiss Cottage,2024,1,10,Kinematics,,,
Swiss Cottage,2024,1,11,Linear Law,,,
Swiss Cottage,2024,1,12,Coordinate Geometry,,2,Challenging
Swiss Cottage,2024,1,13a,Differentiation,Stationary Points,1,Normal
Swiss Cottage,2024,1,13b,Differentiation,Tangent / Normal,2,Challenging
Swiss Cottage,2024,2,1,Exponential and Log,,1,Normal
Swiss Cottage,2024,2,2,Trigonometry,Special Angles,1,Normal
Swiss Cottage,2024,2,3,Integration,,1,Normal
Swiss Cottage,2024,2,4,Differentiation,Tangent / Normal,1,Normal
Swiss Cottage,2024,2,5a,Trigonometry,Proving Trigo Functions,1,Normal
Swiss Cottage,2024,2,5b,Trigonometry,Solving Trigo Functions,1,Normal
Swiss Cottage,2024,2,6,Trigonometry,R-Formula,1,Normal
Swiss Cottage,2024,2,7,Polynomials,,2,Challenging
Swiss Cottage,2024,2,"8a, b",Differentiation,Rate of Change,1,Normal
Swiss Cottage,2024,2,8c,Integration,Differentiate then Integrate,1,Normal
Swiss Cottage,2024,2,9,Differentiation,Stationary Points,1,Normal
Swiss Cottage,2024,2,10,Coordinate Geometry (Circle),,2,Challenging
Swiss Cottage,2024,2,11,Integration - Area under curve,,,
Tampines Sec,2024,1,1,Differentiation,Increasing / Decreasing Functions,1,Normal
Tampines Sec,2024,1,2,Equation and Inequality,,2,Challenging
Tampines Sec,2024,1,3,Surds,,1,Normal
Tampines Sec,2024,1,4,Binomial Expansion,,1,Normal
Tampines Sec,2024,1,5,Integration,,2,Challenging
Tampines Sec,2024,1,6,Coordinate Geometry,,1,Normal
Tampines Sec,2024,1,7,Linear Law,,,
